32.6, 52, 13
35.3, 88, 19
10.1, 78, 44
26.7, 79, 92
27.6, 80, 22
13.6, 52, 53
34.1, 82, 83
21.3, 97, 35
27.3, 98, 35
16.1, 95, 84
15.0, 86, 21
27.8, 35, 4
12.2, 75, 63
29.9, 64, 74
42.0, 45, 37
26.7, 31, 26
25.4, 94, 83
37.4, 58, 30
36.9, 47, 94
30.0, 48, 39
21.3, 49, 11
24.7, 93, 49
12.4, 42, 61
16.0, 76, 67
28.7, 87, 65
38.8, 46, 94
14.1, 51, 51
11.9, 93, 46
10.2, 43, 27
12.9, 91, 26
19.8, 70, 78
26.2, 50, 74
27.4, 50, 71
15.7, 84, 13
20.4, 64, 1
11.1, 98, 91
41.5, 64, 69
10.2, 91, 99
34.6, 91, 51
10.0, 75, 62
37.5, 76, 13
14.9, 90, 89
38.3, 76, 31
33.1, 65, 17
14.7, 64, 54
20.8, 86, 42
14.4, 93, 78
15.2, 54, 59
33.5, 81, 26
22.6, 36, 62
43.2, 77, 82
40.6, 34, 49
23.5, 41, 65
40.5, 42, 34
16.8, 48, 10
11.6, 90, 12
28.8, 46, 8
28.3, 90, 93
20.2, 46, 24
32.1, 83, 67
10.4, 97, 28
40.7, 63, 89
17.6, 84, 24
28.8, 60, 55
16.2, 97, 14
18.5, 84, 87
27.8, 64, 0
15.2, 59, 24
17.3, 46, 50
39.0, 94, 32
44.7, 52, 85
36.7, 75, 42
15.2, 57, 6
23.1, 85, 45
18.1, 91, 31
33.5, 81, 77
33.0, 45, 35
31.2, 45, 66
35.9, 85, 18
11.7, 86, 12
22.4, 52, 73
13.2, 88, 25
15.8, 94, 23
36.4, 38, 74
29.2, 92, 16
27.4, 91, 84
29.5, 69, 58
27.5, 41, 40
33.6, 47, 39
19.9, 43, 64
20.5, 37, 19
28.4, 60, 46
22.9, 79, 89
35.4, 57, 3
42.9, 51, 75
19.4, 61, 44
22.6, 57, 85
24.1, 33, 91
35.0, 68, 62
38.1, 45, 34
30.0, 59, 80
43.3, 73, 25
39.3, 38, 72
22.1, 84, 85
44.1, 49, 79
29.4, 97, 33
31.8, 69, 51
44.5, 55, 67
13.0, 30, 28
44.7, 89, 17
17.5, 56, 28
28.2, 51, 68
25.4, 33, 10
27.1, 90, 54
23.1, 95, 58
15.4, 76, 100
26.6, 70, 61
36.1, 64, 79
25.3, 43, 96
14.6, 66, 10
30.5, 60, 1
13.4, 80, 69
34.9, 63, 61
12.8, 57, 11
26.1, 76, 23
33.8, 94, 68
40.7, 86, 24
42.2, 100, 33
31.8, 46, 50
18.4, 94, 34
30.8, 37, 9
42.2, 51, 89
23.8, 62, 48
25.8, 71, 95
11.3, 87, 45
13.6, 38, 38
11.8, 84, 56
17.1, 45, 96
18.9, 66, 70
26.9, 77, 36
32.2, 96, 81
29.6, 50, 3
19.1, 75, 0
25.3, 55, 10
16.7, 61, 16
29.5, 57, 95
28.1, 43, 95
14.0, 58, 42
11.2, 41, 81
42.8, 41, 82
17.8, 65, 7
14.9, 66, 70
13.0, 90, 80
11.4, 52, 28
22.5, 51, 93
40.0, 48, 96
31.5, 82, 78
36.1, 72, 81
26.3, 42, 54
13.4, 85, 30
28.3, 90, 0
21.7, 88, 67
26.5, 56, 47
32.1, 60, 36
14.6, 45, 98
36.1, 81, 76
40.3, 53, 0
21.2, 69, 1
20.0, 89, 87
41.0, 47, 20
29.5, 35, 82
19.2, 67, 38
24.8, 42, 4
12.7, 85, 13
38.1, 42, 14
22.9, 34, 44
31.2, 90, 95
32.4, 87, 85
44.1, 73, 78
43.8, 72, 69
23.7, 40, 29
41.9, 34, 82
26.1, 98, 80
41.8, 99, 79
20.5, 49, 95
19.5, 81, 74
10.2, 81, 58
12.2, 90, 35
42.6, 57, 22
30.4, 85, 25
20.0, 82, 41
13.0, 76, 95
27.7, 53, 16
40.8, 34, 54
15.7, 30, 26
26.8, 68, 86
31.4, 85, 74
21.9, 96, 36
28.3, 58, 17
20.5, 73, 33
33.8, 99, 27
31.1, 70, 80
26.3, 40, 42
39.8, 59, 73
21.9, 73, 92
20.9, 59, 23
32.4, 58, 87
21.9, 97, 66
11.0, 73, 35
44.5, 73, 93
43.8, 73, 19
12.8, 40, 18
32.1, 51, 29
23.1, 44, 61
15.3, 79, 53
34.7, 93, 9
19.5, 40, 78
22.9, 42, 12
10.6, 75, 61
27.6, 40, 1
44.9, 87, 73
25.6, 58, 5
33.5, 63, 93
28.9, 48, 8
10.2, 68, 25
23.1, 93, 90
10.4, 39, 49
16.8, 49, 5
25.6, 71, 35
42.8, 44, 13
23.1, 35, 35
42.1, 52, 47
25.5, 96, 18
43.9, 69, 81
20.4, 78, 94
36.9, 45, 27
33.4, 76, 49
23.5, 33, 92
20.1, 76, 53
34.9, 79, 11
33.9, 89, 91
13.5, 91, 4
12.4, 45, 37
25.6, 56, 41
31.0, 85, 72
44.4, 74, 28
37.7, 94, 10
24.2, 76, 51
41.3, 98, 1
28.7, 95, 2
23.4, 49, 50
42.9, 83, 31
19.2, 98, 19
42.7, 79, 67
11.5, 60, 46
19.6, 56, 7
22.7, 48, 18
26.4, 43, 38
43.7, 39, 4
23.2, 81, 75
33.7, 68, 76
31.5, 87, 3
24.8, 92, 48
32.0, 66, 77
38.4, 30, 64
33.4, 78, 15
35.8, 51, 43
40.0, 68, 88
27.2, 57, 94
28.0, 43, 30
29.5, 81, 55
28.4, 98, 98
31.3, 83, 60
22.7, 96, 13
38.6, 53, 78
35.6, 36, 98
20.0, 71, 61
18.0, 95, 28
38.1, 53, 76
40.2, 64, 79
33.4, 36, 51
30.1, 35, 87
16.6, 79, 26
12.7, 50, 37
23.2, 38, 45
20.0, 88, 71
14.9, 99, 8
21.9, 50, 80
30.2, 94, 4
19.7, 41, 85
30.5, 93, 92
30.5, 57, 3
12.3, 53, 66
30.4, 95, 68
16.2, 38, 77
12.6, 65, 94
40.6, 64, 12
21.6, 64, 52
21.8, 69, 23
41.0, 62, 100
41.0, 94, 7
28.6, 80, 57
35.2, 48, 82
15.7, 69, 68
42.1, 72, 49
16.9, 53, 43
35.2, 91, 54
